,param_criterion,param_max_depth,param_max_features,param_min_samples_split,mean_train_score,mean_test_score
183,entropy,11,7,17,0.7811349109601853,0.6057841614906833
184,entropy,11,9,2,1.0,0.6016045548654244
185,entropy,11,9,7,0.9553994698245002,0.5995988612836439
186,entropy,11,9,12,0.8578910366801469,0.601656314699793
187,entropy,11,9,17,0.7894197093709486,0.6099249482401656
188,entropy,11,11,2,1.0,0.5975025879917184
189,entropy,11,11,7,0.9574666382874429,0.5975155279503106
190,entropy,11,11,12,0.8578942615919454,0.5995988612836439
191,entropy,11,11,17,0.7883877375953768,0.6057971014492755
192,entropy,11,13,2,1.0,0.6037267080745341
193,entropy,11,13,7,0.9595402565739827,0.5912784679089027
194,entropy,11,13,12,0.8578910366801469,0.5954321946169773
195,entropy,11,13,17,0.792538199080255,0.6016174948240166
196,entropy,16,1,2,1.0,0.6078416149068323
197,entropy,16,1,7,0.8879859135852635,0.6244047619047618
198,entropy,16,1,12,0.7738659597660004,0.6161231884057972
199,entropy,16,1,17,0.7167882458414763,0.6244047619047618
200,entropy,16,3,2,1.0,0.5995729813664596
201,entropy,16,3,7,0.9242822958792077,0.6182065217391305
202,entropy,16,3,12,0.8247002444483144,0.6119953416149069
203,entropy,16,3,17,0.7614178002231639,0.6244435817805384
204,entropy,16,5,2,1.0,0.6058100414078674
205,entropy,16,5,7,0.9398392703959547,0.612021221532091
206,entropy,16,5,12,0.8423372870751985,0.5975155279503106
207,entropy,16,5,17,0.7697283979283167,0.6140916149068323
208,entropy,16,7,2,1.0,0.612021221532091
209,entropy,16,7,7,0.9522809801151938,0.6078804347826087
210,entropy,16,7,12,0.850622085485962,0.6057841614906833
211,entropy,16,7,17,0.780096489361016,0.6057841614906833
212,entropy,16,9,2,1.0,0.5995471014492754
213,entropy,16,9,7,0.9574763130228389,0.5995988612836439
214,entropy,16,9,12,0.8558141934818083,0.5995859213250517
215,entropy,16,9,17,0.7883812877717794,0.6099249482401656
216,entropy,16,11,2,1.0,0.603713768115942
217,entropy,16,11,7,0.9585050598866122,0.5975155279503106
218,entropy,16,11,12,0.8568558399927761,0.5995988612836439
219,entropy,16,11,17,0.7883877375953768,0.6078674948240166
