,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
196,0.0018556912740071614,0.00011836713442794337,0.0,0.0,1000.0,auto,l2,newton-cg,"{'C': 1000.0, 'class_weight': 'auto', 'penalty': 'l2', 'solver': 'newton-cg'}",,,,,,103,,,,,
197,0.0013114611307779949,0.00037433621856855417,0.0,0.0,1000.0,auto,l2,sag,"{'C': 1000.0, 'class_weight': 'auto', 'penalty': 'l2', 'solver': 'sag'}",,,,,,104,,,,,
198,0.0018479029337565105,0.0006385812270560539,0.0,0.0,1000.0,auto,l2,saga,"{'C': 1000.0, 'class_weight': 'auto', 'penalty': 'l2', 'solver': 'saga'}",,,,,,105,,,,,
199,0.0016738573710123699,0.0003199520085304786,0.0,0.0,1000.0,auto,l2,lbfgs,"{'C': 1000.0, 'class_weight': 'auto', 'penalty': 'l2', 'solver': 'lbfgs'}",,,,,,109,,,,,
200,0.0019085407257080078,0.00010541930301325812,0.0,0.0,1000.0,auto,none,newton-cg,"{'C': 1000.0, 'class_weight': 'auto', 'penalty': 'none', 'solver': 'newton-cg'}",,,,,,144,,,,,
201,0.002039670944213867,5.7677917273619566e-05,0.0,0.0,1000.0,auto,none,sag,"{'C': 1000.0, 'class_weight': 'auto', 'penalty': 'none', 'solver': 'sag'}",,,,,,163,,,,,
202,0.0019981066385904946,2.6572948292574067e-06,0.0,0.0,1000.0,auto,none,saga,"{'C': 1000.0, 'class_weight': 'auto', 'penalty': 'none', 'solver': 'saga'}",,,,,,127,,,,,
203,0.0020035107930501304,3.265164468157154e-06,0.0,0.0,1000.0,auto,none,lbfgs,"{'C': 1000.0, 'class_weight': 'auto', 'penalty': 'none', 'solver': 'lbfgs'}",,,,,,147,,,,,
204,0.00015528996785481772,0.00021961317864076514,0.0,0.0,1000.0,balanced,l1,newton-cg,"{'C': 1000.0, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,,148,,,,,
205,0.0006653467814127604,0.00047047186536280895,0.0,0.0,1000.0,balanced,l1,sag,"{'C': 1000.0, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'sag'}",,,,,,149,,,,,
206,1.8399782180786133,0.1679244639701349,0.00233308474222819,0.000473796381104761,1000.0,balanced,l1,saga,"{'C': 1000.0, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'saga'}",0.546583850931677,0.5652173913043478,0.51875,0.5435170807453417,0.019093776004930504,53,0.6074766355140186,0.5950155763239875,0.6273291925465838,0.6099404681281967,0.013306522253098927
207,0.0,0.0,0.0,0.0,1000.0,balanced,l1,lbfgs,"{'C': 1000.0, 'class_weight': 'balanced', 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,151,,,,,
