,param_C,param_degree,param_gamma,param_kernel,mean_train_score,mean_test_score
348,3.1622776601683795e-05,4,2,linear,0.5435556587527332,0.5228649068322981
349,3.1622776601683795e-05,4,2,poly,0.6202988848255,0.5083721532091098
350,3.1622776601683795e-05,4,2,rbf,0.5,0.5
351,3.1622776601683795e-05,4,2,sigmoid,0.5,0.5
352,3.1622776601683795e-05,4,3,linear,0.5435556587527332,0.5228649068322981
353,3.1622776601683795e-05,4,3,poly,0.6182349412743561,0.5124741200828158
354,3.1622776601683795e-05,4,3,rbf,0.5,0.5
355,3.1622776601683795e-05,4,3,sigmoid,0.5,0.5
356,3.1622776601683795e-05,4,4,linear,0.5435556587527332,0.5228649068322981
357,3.1622776601683795e-05,4,4,poly,0.6202988848255,0.5083721532091098
358,3.1622776601683795e-05,4,4,rbf,0.5,0.5
359,3.1622776601683795e-05,4,4,sigmoid,0.5,0.5
360,3.1622776601683795e-05,4,5,linear,0.5435556587527332,0.5228649068322981
361,3.1622776601683795e-05,4,5,poly,0.6130815322200939,0.48119824016563145
362,3.1622776601683795e-05,4,5,rbf,0.5,0.5
363,3.1622776601683795e-05,4,5,sigmoid,0.5,0.5
364,3.1622776601683795e-05,4,6,linear,0.5435556587527332,0.5228649068322981
365,3.1622776601683795e-05,4,6,poly,0.6182349412743561,0.5124741200828158
366,3.1622776601683795e-05,4,6,rbf,0.5,0.5
367,3.1622776601683795e-05,4,6,sigmoid,0.5,0.5
368,3.1622776601683795e-05,4,7,linear,0.5435556587527332,0.5228649068322981
369,3.1622776601683795e-05,4,7,poly,0.6337499919377204,0.49381469979296067
370,3.1622776601683795e-05,4,7,rbf,0.5,0.5
371,3.1622776601683795e-05,4,7,sigmoid,0.5,0.5
372,3.1622776601683795e-05,4,8,linear,0.5435556587527332,0.5228649068322981
373,3.1622776601683795e-05,4,8,poly,0.6202988848255,0.5083721532091098
374,3.1622776601683795e-05,4,8,rbf,0.5,0.5
375,3.1622776601683795e-05,4,8,sigmoid,0.5,0.5
376,3.1622776601683795e-05,4,9,linear,0.5435556587527332,0.5228649068322981
377,3.1622776601683795e-05,4,9,poly,0.6380004256883574,0.48554606625258795
378,3.1622776601683795e-05,4,9,rbf,0.5,0.5
379,3.1622776601683795e-05,4,9,sigmoid,0.5,0.5
380,3.1622776601683795e-05,4,10,linear,0.5435556587527332,0.5228649068322981
381,3.1622776601683795e-05,4,10,poly,0.6130815322200939,0.48119824016563145
382,3.1622776601683795e-05,4,10,rbf,0.5,0.5
383,3.1622776601683795e-05,4,10,sigmoid,0.5,0.5
384,0.0001,1,auto,linear,0.5591287578284733,0.5352743271221532
385,0.0001,1,auto,poly,0.5425140122417651,0.5207815734989648
386,0.0001,1,auto,rbf,0.5,0.5
387,0.0001,1,auto,sigmoid,0.5,0.5
388,0.0001,1,scale,linear,0.5591287578284733,0.5352743271221532
389,0.0001,1,scale,poly,0.5,0.5
390,0.0001,1,scale,rbf,0.5,0.5
391,0.0001,1,scale,sigmoid,0.5,0.5
392,0.0001,1,1,linear,0.5591287578284733,0.5352743271221532
393,0.0001,1,1,poly,0.5591287578284733,0.5352743271221532
394,0.0001,1,1,rbf,0.5,0.5
395,0.0001,1,1,sigmoid,0.5,0.5
396,0.0001,1,2,linear,0.5591287578284733,0.5352743271221532
397,0.0001,1,2,poly,0.5632888940487478,0.5456521739130434
398,0.0001,1,2,rbf,0.5,0.5
399,0.0001,1,2,sigmoid,0.5,0.5
400,0.0001,1,3,linear,0.5591287578284733,0.5352743271221532
401,0.0001,1,3,poly,0.5674361306218274,0.547748447204969
402,0.0001,1,3,rbf,0.5,0.5
403,0.0001,1,3,sigmoid,0.5,0.5
404,0.0001,1,4,linear,0.5591287578284733,0.5352743271221532
405,0.0001,1,4,poly,0.565359287423489,0.5539596273291926
406,0.0001,1,4,rbf,0.5,0.5
407,0.0001,1,4,sigmoid,0.5,0.5
408,0.0001,1,5,linear,0.5591287578284733,0.5352743271221532
409,0.0001,1,5,poly,0.5653625123352876,0.5518892339544513
410,0.0001,1,5,rbf,0.5,0.5
411,0.0001,1,5,sigmoid,0.5,0.5
412,0.0001,1,6,linear,0.5591287578284733,0.5352743271221532
413,0.0001,1,6,poly,0.5643240907361183,0.5498188405797101
414,0.0001,1,6,rbf,0.5,0.5
415,0.0001,1,6,sigmoid,0.5,0.5
416,0.0001,1,7,linear,0.5591287578284733,0.5352743271221532
417,0.0001,1,7,poly,0.5674361306218274,0.5518892339544513
418,0.0001,1,7,rbf,0.5,0.5
419,0.0001,1,7,sigmoid,0.5,0.5
420,0.0001,1,8,linear,0.5591287578284733,0.5352743271221532
421,0.0001,1,8,poly,0.5684745522209967,0.5518892339544513
422,0.0001,1,8,rbf,0.5,0.5
423,0.0001,1,8,sigmoid,0.5,0.5
424,0.0001,1,9,linear,0.5591287578284733,0.5352743271221532
425,0.0001,1,9,poly,0.5715898170185044,0.5539596273291926
426,0.0001,1,9,rbf,0.5,0.5
427,0.0001,1,9,sigmoid,0.5,0.5
428,0.0001,1,10,linear,0.5591287578284733,0.5352743271221532
429,0.0001,1,10,poly,0.5736634353050444,0.5560300207039338
430,0.0001,1,10,rbf,0.5,0.5
431,0.0001,1,10,sigmoid,0.5,0.5
